%Szakasz_index	x_coord	mesh_density
310	-0.14455061988802714	83825.3532011907
311	-0.14453869815149617	83935.51428588545
312	-0.14452679203794427	84045.48542955687
313	-0.14451490147968143	84155.26745243819
314	-0.14450302640950285	84264.86116888779
315	-0.14449116676068413	84374.2673875943
316	-0.14447932246697645	84483.48691139382
317	-0.1444674934626019	84592.52053728834
318	-0.14445567968224882	84701.36905686774
319	-0.1444438810610671	84810.03325614461
320	-0.14443209753466368	84918.51391499108
321	-0.14442032903909807	85026.8118087793
322	-0.14440857551087785	85134.927706632
323	-0.1443968368869544	85242.86237267626
324	-0.14438511310471844	85350.61656550132
325	-0.14437340410199584	85458.19103862642
326	-0.14436170981704333	85565.58654016738
327	-0.14435003018854445	85672.80381331738
328	-0.14433836515560533	85779.84359581846
329	-0.14432671465775063	85886.70662086237
330	-0.1443150786349196	85993.3936157517
331	-0.14430345702746203	86099.90530363133
332	-0.14429184977613435	86206.24240236238
333	-0.14428025682209583	86312.4056248306
334	-0.1442686781069047	86418.395679471
335	-0.14425711357251425	86524.2132695571
336	-0.14424556316126946	86629.85909352536
337	-0.14423402681590286	86735.33384572566
338	-0.14422250447953128	86840.63821509354
339	-0.14421099609565197	86945.77288653438
340	-0.1441995016081392	87050.7385400178
341	-0.14418802096124078	87155.53585113838
342	-0.14417655409957447	87260.1654912654
343	-0.14416510096812457	87364.62812663899
344	-0.14415366151223866	87468.92441979254
345	-0.14414223567762408	87573.05502844481
346	-0.14413082341034472	87677.02060629966
347	-0.14411942465681776	87780.8218025773
348	-0.14410803936381048	87884.45926218528
349	-0.14409666747843686	87987.93362632496
350	-0.14408530894815474	88091.24553138643
351	-0.14407396372076237	88194.39560977419
352	-0.1440626317443956	88297.38449031455
353	-0.14405131296752471	88400.21279737055
354	-0.14404000733895142	88502.88115103432
355	-0.14402871480780588	88605.39016776098
356	-0.14401743532354375	88707.74046035905
357	-0.14400616883594336	88809.93263688896
358	-0.14399491529510272	88911.9673024015
359	-0.1439836746514368	89013.84505762435
360	-0.14397244685567462	89115.56649961679
361	-0.14396123185885645	89217.13222133173
362	-0.14395002961233125	89318.54281272425
363	-0.1439388400677537	89419.7988592148
364	-0.14392766317708172	89520.90094324805
365	-0.14391649889257377	89621.8496432003
366	-0.1439053471667861	89722.64553383864
367	-0.1438942079525703	89823.28918634087
368	-0.14388308120307072	89923.78116899154
369	-0.14387196687172185	90024.12204541535
370	-0.14386086491224587	90124.31237684716
371	-0.14384977527865023	90224.35272036775
